Field Season,Species code ,Date Collected,Plot,Sex ,Weight (g),Notes,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/13,2,F,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/13,7,M,33,,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/13,3,M,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/16/13,1,M,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/13,3,M,40,,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/13,7,M,48,,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/13,4,F,29,,,,,,,,,,,,,,,,,,,,,,,,
2013,DM,7/18/13,6,F,37,,,,,,,,,,,,,,,,,,,,,,,,
2013,DO,8/19/13,8,F,52,,,,,,,,,,,,,,,,,,,,,,,,
2013,DO,10/17/13,3,F,33,,,,,,,,,,,,,,,,,,,,,,,,
2013,DO,10/17/13,3,F,50,,,,,,,,,,,,,,,,,,,,,,,,
2013,DO,12/10/13,9,F,40,,,,,,,,,,,,,,,,,,,,,,,,
2013,DO,12/10/13,1,M,45,,,,,,,,,,,,,,,,,,,,,,,,
2013,DO,12/11/13,8,F,41,,,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/12/13,9,F,117,,,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/13,11,F,126,,,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/13,17,M,132,(scale not calibrated),,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/13,14,F,113, (scale not callibtrated),,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/13,11,F,122,,,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/13,4,F,107,,,,,,,,,,,,,,,,,,,,,,,,
2013,DS,11/13/13,4,F,115,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/9/14,1,M,40,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/9/14,1,F,36,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,3/13/14,1,F,51,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,3/13/14,1,F,44,,,,,,,,,,,,,,,,,,,,,,,,
2014,DS,3/13/14,1,F,146,,,,,,,,,,,,,,,,,,,,,,,,
2014,NA,1/8/14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/14,2,M,44,,,,,,,,,,,,,,,,,,,,,,,,
2014,PF,1/8/14,2,F,7,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/14,2,M,45,,,,,,,,,,,,,,,,,,,,,,,,
2014,OT,1/8/14,2,,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2014,DS,1/8/14,2,M,157,(scale not calibrated),,,,,,,,,,,,,,,,,,,,,,,
2014,OX,1/8/14,2,,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2014,NA,2/18/14,2,M,218,(scale not calibrated),,,,,,,,,,,,,,,,,,,,,,,
2014,PF,2/18/14,2,F,7,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,2/18/14,2,M,52,,,,,,,,,,,,,,,,,,,,,,,,
2014,PF,3/11/15,3,M,8,,,,,,,,,,,,,,,,,,,,,,,,
2014,NA,4/8/15,3,F,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2014,,5/6/15,3,,,"Species not recorded, gender not recorded, no weight recorded",,,,,,,,,,,,,,,,,,,,,,,
2014,NA,5/18/15,3,F,182,,,,,,,,,,,,,,,,,,,,,,,,
2014,OT,6/9/15,3,F,29,,,,,,,,,,,,,,,,,,,,,,,,
2014,NA,7/8/15,3,F,115,,,,,,,,,,,,,,,,,,,,,,,,
2014,NA,7/8/15,3,M,190,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/78,4,F,37,,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/78,4,M,,no weight recorded,,,,,,,,,,,,,,,,,,,,,,,
2014,DM,1/8/78,4,F,48,,,,,,,,,,,,,,,,,,,,,,,,
2014,DO,1/8/78,4,M,52,,,,,,,,,,,,,,,,,,,,,,,,
2014,OL,1/8/78,4,M,35,,,,,,,,,,,,,,,,,,,,,,,,